"filename", "language", "C++", "YAML", "Dart", "JSON", "Groovy", "Markdown", "Properties", "XML", "Java", "Swift", "HTML", "Ruby", "comment", "blank", "total"
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 1, 10, 44
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/pubspec.yaml", "YAML", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 15, 97
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/test/widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 15, 5, 39
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/marekskreko/Documents/GitHub/flutter-agmmo/windows/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
